Date;Opp;W/L;time;2P;3P;1P;Off Reb;Def Reb;Assist;Steal;Foul;Points;Game Score
1995-03-19;IND;L;43:00;7;0;5;2;4;6;3;3;19;7.4
1995-03-22;BOS;W;26:00;8;1;8;0;3;3;2;4;27;22.8
1995-03-24;ORL;L;44:00;7;0;7;0;4;8;5;2;21;16.5
1995-03-25;ATL;W;43:00;14;0;4;0;4;2;1;2;32;22.2
1995-03-28;NYK;W;39:00;18;3;10;0;4;2;1;3;55;37.5
1995-03-30;BOS;W;39:00;6;2;5;0;11;6;0;2;23;16.2
1995-04-01;PHI;W;35:00;5;0;2;1;4;6;1;2;12;3.9
1995-04-05;NJN;W;43:00;12;1;10;3;8;2;3;3;37;25.3
1995-04-07;CLE;W;42:00;8;1;9;0;8;9;2;5;28;17.7
1995-04-09;CLE;L;46:00;7;2;1;4;5;5;1;2;21;11.7
1995-04-11;IND;W;42:00;7;1;8;2;9;6;1;4;25;16.6
1995-04-12;DET;W;44:00;11;1;4;1;8;9;0;4;29;21.5
1995-04-16;NYK;W;37:00;8;0;12;4;2;4;3;2;28;25.2
1995-04-17;MIA;W;40:00;9;0;13;0;5;4;3;2;31;24.2
1995-04-20;DET;W;27:00;8;0;1;4;4;7;1;2;17;18.1
1995-04-22;CHH;W;33:00;8;0;3;0;2;4;0;1;19;12.6
1995-04-23;MIL;L;45:00;7;4;7;4;7;7;3;4;33;23.8
